loan_id,customer_id,loan_amount,loan_amnt_div_instlmnt,int_rate%,loan_age,debt_settlement_flag,out_prncp
L-1117,SYN-1117,364727,36.0,26.2,53,0,0.0
L-1118,SYN-1118,295166,60.0,16.25,38,0,0.0
L-1119,SYN-1119,874578,36.0,9.75,39,1,305572.7711062354
L-1120,SYN-1120,142144,60.0,11.02,37,0,51099.05565371977
L-1121,SYN-1121,144970,60.00000000000001,18.1,51,0,51616.34531063103
L-1122,SYN-1122,307437,36.0,14.45,41,0,0.0
L-1123,SYN-1123,699036,24.0,17.57,28,0,83770.78504770662
L-1124,SYN-1124,97268,59.99999999999999,25.07,44,0,0.0
L-1125,SYN-1125,344040,48.0,23.85,43,0,0.0
L-1126,SYN-1126,362654,24.0,14.52,36,0,289179.1209477352
L-1127,SYN-1127,245732,12.0,21.41,27,1,88831.80635118138
L-1128,SYN-1128,55357,60.0,18.46,16,0,27541.11606559962
L-1129,SYN-1129,450305,48.0,7.01,22,0,171814.56188562667
L-1130,SYN-1130,322165,48.0,12.8,30,0,0.0
L-1131,SYN-1131,738991,12.0,15.95,14,0,0.0
L-1132,SYN-1132,96430,24.0,22.27,55,0,0.0
L-1133,SYN-1133,418205,60.0,23.56,48,0,0.0
L-1134,SYN-1134,123536,60.0,25.96,5,1,0.0
L-1135,SYN-1135,178579,36.0,17.94,17,0,120732.6084615451
L-1136,SYN-1136,486190,48.0,7.03,55,0,291406.012149974
L-1137,SYN-1137,853649,12.0,10.51,24,0,539382.1770341165
L-1138,SYN-1138,62123,12.0,27.82,59,1,14626.404436163959
L-1139,SYN-1139,421007,48.0,8.99,37,0,18456.6153644476
L-1140,SYN-1140,833992,12.0,19.55,41,0,0.0
L-1141,SYN-1141,248907,48.0,20.13,49,0,0.0
L-1142,SYN-1142,402366,12.0,19.09,45,0,0.0
L-1143,SYN-1143,283424,60.0,15.65,31,0,149707.79793218136
L-1144,SYN-1144,130533,48.0,7.16,3,0,0.0
L-1145,SYN-1145,204773,60.0,24.86,48,0,0.0
L-1146,SYN-1146,940880,60.0,26.05,53,0,0.0
L-1147,SYN-1147,68111,48.0,26.29,47,0,8374.832819032203
L-1148,SYN-1148,669699,24.0,11.36,11,0,308858.47734971275
L-1149,SYN-1149,221120,24.0,7.88,58,0,0.0
L-1150,SYN-1150,328068,12.0,20.98,55,0,0.0
L-1151,SYN-1151,126589,48.0,17.42,36,0,72545.42341232978
L-1152,SYN-1152,317267,59.99999999999999,7.15,28,0,0.0
L-1153,SYN-1153,989834,24.0,26.01,53,0,25993.027435886997
L-1154,SYN-1154,290703,12.0,27.89,40,0,17077.5312134589
L-1155,SYN-1155,383448,48.0,21.15,13,0,0.0
L-1156,SYN-1156,100401,12.0,18.38,60,0,0.0
L-1157,SYN-1157,955423,24.0,25.37,42,0,0.0
L-1158,SYN-1158,255171,12.0,10.82,25,0,0.0
L-1159,SYN-1159,856340,48.0,19.2,11,0,0.0
L-1160,SYN-1160,281904,12.0,23.6,55,0,0.0
L-1161,SYN-1161,631929,60.0,21.72,57,0,0.0
L-1162,SYN-1162,974291,60.0,21.78,43,0,0.0
L-1163,SYN-1163,951961,60.0,8.02,21,0,67820.54657319037
L-1164,SYN-1164,197830,12.0,24.69,53,0,0.0
L-1165,SYN-1165,474618,36.0,23.3,47,0,0.0
L-1166,SYN-1166,315470,36.0,22.69,54,0,136564.5272680074
L-1167,SYN-1167,129038,60.0,17.49,9,0,0.0
L-1168,SYN-1168,628615,24.0,12.74,39,0,440172.0943048715
L-1169,SYN-1169,81286,48.0,7.24,46,0,0.0
L-1170,SYN-1170,918886,60.0,7.73,55,0,0.0
L-1171,SYN-1171,325016,36.0,15.37,41,0,0.0
L-1172,SYN-1172,718653,60.00000000000001,26.21,25,0,148267.64698606776
L-1173,SYN-1173,687941,36.0,8.64,12,0,0.0
L-1174,SYN-1174,354460,60.0,14.54,58,0,122240.0539737852
L-1175,SYN-1175,381555,24.0,21.16,43,0,229772.2041246614
L-1176,SYN-1176,684199,12.0,25.44,54,0,213878.48155396958
L-1177,SYN-1177,948294,36.0,17.4,36,0,356113.39264589216
L-1178,SYN-1178,357749,48.0,25.69,23,0,276493.33205741324
L-1179,SYN-1179,769723,48.0,9.72,54,0,74484.36890174272
L-1180,SYN-1180,459185,48.0,9.88,49,0,282120.9405588525
L-1181,SYN-1181,373424,60.0,17.96,20,0,163826.07897338318
L-1182,SYN-1182,711993,48.0,17.15,5,0,89654.90738852837
L-1183,SYN-1183,571809,48.0,24.25,21,1,166475.52190250065
L-1184,SYN-1184,571394,24.0,11.33,48,0,125028.50865931196
L-1185,SYN-1185,262943,36.0,10.18,55,0,0.0
L-1186,SYN-1186,50721,60.0,13.74,56,0,0.0
L-1187,SYN-1187,679358,48.0,25.45,31,0,461542.173234225
L-1188,SYN-1188,405969,24.0,7.17,26,0,0.0
L-1189,SYN-1189,396510,24.0,23.12,15,0,0.0
L-1190,SYN-1190,439511,48.0,7.35,42,0,0.0
L-1191,SYN-1191,352152,24.0,12.09,11,0,0.0
L-1192,SYN-1192,56950,60.0,8.79,12,0,0.0
L-1193,SYN-1193,320682,24.0,22.24,53,0,0.0
L-1194,SYN-1194,721796,12.0,12.9,4,0,0.0
L-1195,SYN-1195,878394,48.0,17.75,19,0,0.0
L-1196,SYN-1196,256395,48.0,25.39,33,0,0.0
L-1197,SYN-1197,772652,36.0,7.95,12,0,575199.293954228
L-1198,SYN-1198,204426,24.0,8.95,34,0,0.0
L-1199,SYN-1199,764558,60.0,8.7,9,0,0.0
L-1200,SYN-1200,893074,60.0,15.04,58,0,0.0
L-1201,SYN-1201,410504,48.0,17.91,42,0,71278.0716756836
L-1202,SYN-1202,398647,36.0,17.58,31,0,0.0
L-1203,SYN-1203,963250,36.0,25.2,29,0,0.0
L-1204,SYN-1204,576666,60.0,26.96,12,0,0.0
L-1205,SYN-1205,567986,24.0,13.61,21,0,146281.28152802854
L-1206,SYN-1206,392816,12.0,8.42,32,0,0.0
L-1207,SYN-1207,844010,24.0,18.62,24,1,227146.3484383546
L-1208,SYN-1208,291593,60.0,22.46,14,0,1659.8287866748335
L-1209,SYN-1209,324722,48.0,15.33,30,0,11497.96152738344
L-1210,SYN-1210,184746,60.0,18.47,34,0,0.0
L-1211,SYN-1211,918006,60.0,16.38,49,0,347107.642055312
L-1212,SYN-1212,267691,12.0,21.36,55,0,0.0
L-1213,SYN-1213,632426,36.0,19.69,9,0,0.0
L-1214,SYN-1214,192883,48.0,9.7,45,0,45602.827494121026
L-1215,SYN-1215,992122,12.0,12.4,19,0,0.0
L-1216,SYN-1216,177696,12.0,23.91,8,0,20234.11825602768
L-1217,SYN-1217,876753,60.0,15.02,22,0,190235.01604486007
L-1218,SYN-1218,264687,24.0,8.45,53,0,171681.08584235524
L-1219,SYN-1219,766728,36.0,11.76,55,0,356147.2473158369
L-1220,SYN-1220,522827,24.0,20.07,56,0,10519.509505307722
L-1221,SYN-1221,97928,24.0,23.63,22,0,46978.046368628966
L-1222,SYN-1222,431992,60.0,21.72,55,0,23783.50357294081
L-1223,SYN-1223,606461,60.00000000000001,17.64,56,0,0.0
L-1224,SYN-1224,106295,24.0,9.43,39,0,21694.977624346368
L-1225,SYN-1225,528511,48.0,27.53,17,0,121965.97734465153
L-1226,SYN-1226,959624,12.0,27.0,16,0,142958.42785776345
L-1227,SYN-1227,963250,60.0,13.75,38,1,0.0
L-1228,SYN-1228,64449,36.0,16.46,46,0,48558.50013814342
L-1229,SYN-1229,823644,60.0,11.59,28,0,310743.51580055733
L-1230,SYN-1230,950205,48.0,12.37,32,1,312526.30657650885
L-1231,SYN-1231,849350,36.0,15.45,3,0,653901.0011561229
L-1232,SYN-1232,196013,24.0,24.95,38,0,151644.0865297883
L-1233,SYN-1233,875694,60.0,9.67,40,0,599954.2949381353
L-1234,SYN-1234,485513,60.0,10.47,38,0,0.0
L-1235,SYN-1235,190156,48.0,12.49,53,0,129380.24431811261
L-1236,SYN-1236,363906,36.0,20.52,56,0,221397.5448537798
L-1237,SYN-1237,993858,48.0,15.42,28,1,280120.4630718557
L-1238,SYN-1238,292863,12.0,10.82,19,0,233934.5775898252
L-1239,SYN-1239,596361,36.0,19.14,38,0,0.0
L-1240,SYN-1240,739778,36.0,27.61,54,0,572216.2260114627
L-1241,SYN-1241,240123,12.0,7.61,27,0,131051.32189640669
L-1242,SYN-1242,546856,12.0,13.45,48,0,164610.11340197048
L-1243,SYN-1243,706323,60.00000000000001,8.99,47,0,197551.64614580115
L-1244,SYN-1244,428986,60.0,23.94,48,0,0.0
L-1245,SYN-1245,225028,12.0,20.08,34,0,18794.569802397127
L-1246,SYN-1246,850128,48.0,11.06,47,0,0.0
L-1247,SYN-1247,235876,48.0,15.39,30,0,69084.72852661132
L-1248,SYN-1248,269781,36.0,23.55,30,0,0.0
L-1249,SYN-1249,373588,12.0,17.2,41,0,231454.1342167508
L-1250,SYN-1250,632376,12.0,27.16,44,0,218727.7415208901
L-1251,SYN-1251,565258,24.0,11.03,41,0,0.0
L-1252,SYN-1252,563811,48.0,9.41,58,1,36984.89438430068
L-1253,SYN-1253,689410,12.0,14.02,36,0,101166.05330963527
L-1254,SYN-1254,258467,48.0,27.41,34,0,0.0
L-1255,SYN-1255,324253,60.00000000000001,19.68,8,1,0.0
L-1256,SYN-1256,462908,12.0,23.8,27,0,0.0
L-1257,SYN-1257,312237,48.0,21.78,4,0,0.0
L-1258,SYN-1258,889628,60.0,18.98,8,0,0.0
L-1259,SYN-1259,285061,60.0,20.89,4,0,0.0
L-1260,SYN-1260,650095,48.0,16.7,17,0,19018.719261063008
L-1261,SYN-1261,758401,48.0,9.48,54,0,109940.39517830289
L-1262,SYN-1262,370395,24.0,21.17,6,0,0.0
L-1263,SYN-1263,645186,60.0,16.22,13,0,0.0
L-1264,SYN-1264,700588,48.0,9.17,57,0,512833.462526905
L-1265,SYN-1265,515495,59.99999999999999,11.1,52,0,48887.47936435022
L-1266,SYN-1266,764384,36.0,13.47,42,0,0.0
L-1267,SYN-1267,758761,48.0,11.32,54,0,0.0
L-1268,SYN-1268,483805,12.0,24.16,40,0,196767.79909804784
L-1269,SYN-1269,771273,60.0,25.22,46,0,0.0
L-1270,SYN-1270,86630,60.0,14.2,41,0,0.0
L-1271,SYN-1271,575288,48.0,27.71,33,0,0.0
L-1272,SYN-1272,920939,60.0,13.16,16,0,0.0
L-1273,SYN-1273,946945,48.0,12.75,59,0,152090.39726517946
L-1274,SYN-1274,563804,48.0,24.63,45,0,0.0
L-1275,SYN-1275,966984,36.0,19.49,54,0,258980.55185830765
L-1276,SYN-1276,516039,48.0,15.09,19,0,0.0
L-1277,SYN-1277,514119,12.0,14.33,56,0,0.0
L-1278,SYN-1278,338438,48.0,26.05,58,0,172881.20247035185
L-1279,SYN-1279,315486,12.0,23.27,18,0,163410.00486897316
L-1280,SYN-1280,636319,36.0,21.26,50,0,447202.429975274
L-1281,SYN-1281,722853,60.00000000000001,12.43,59,1,471150.72304670885
L-1282,SYN-1282,343242,60.0,25.2,5,0,2002.1661133861044
L-1283,SYN-1283,290723,60.0,11.53,49,0,0.0
L-1284,SYN-1284,658536,24.0,10.92,41,0,200076.33549978398
L-1285,SYN-1285,826295,60.0,7.9,20,0,146360.61758611962
L-1286,SYN-1286,269185,12.0,27.32,59,0,155418.95975875197
L-1287,SYN-1287,455089,24.0,10.71,48,0,37630.314274673656
L-1288,SYN-1288,891131,24.0,15.56,36,0,0.0
L-1289,SYN-1289,712322,60.0,16.07,15,0,0.0
L-1290,SYN-1290,539977,36.0,20.6,20,0,0.0
L-1291,SYN-1291,994563,48.0,25.14,50,1,681961.2843510525
L-1292,SYN-1292,193120,48.0,11.13,53,0,17220.024444731633
L-1293,SYN-1293,673520,24.0,23.43,48,0,0.0
L-1294,SYN-1294,907904,12.0,8.12,8,1,0.0
L-1295,SYN-1295,507400,12.0,17.14,37,0,0.0
L-1296,SYN-1296,393825,12.0,15.23,36,0,0.0
L-1297,SYN-1297,548887,60.0,20.31,15,0,0.0
L-1298,SYN-1298,954965,12.0,15.97,19,0,0.0
L-1299,SYN-1299,518909,36.0,12.66,33,0,141721.71878045777
L-1300,SYN-1300,897838,36.0,21.04,52,0,22772.276682084677
L-1301,SYN-1301,847469,48.0,7.61,28,0,293368.78889688686
L-1302,SYN-1302,543297,12.0,17.1,43,0,0.0
L-1303,SYN-1303,763241,12.0,26.77,41,0,0.0
L-1304,SYN-1304,468514,12.0,25.12,39,0,173058.09781120665
L-1305,SYN-1305,431593,60.0,20.54,36,0,0.0
L-1306,SYN-1306,157430,24.0,26.09,18,0,0.0
L-1307,SYN-1307,517554,12.0,14.02,47,0,0.0
L-1308,SYN-1308,563046,60.0,8.39,5,0,0.0
L-1309,SYN-1309,936070,36.0,9.5,4,0,371401.1022458262
L-1310,SYN-1310,527174,60.0,11.3,37,0,223904.74408214667
L-1311,SYN-1311,331966,60.0,27.35,54,1,223459.60904240317
L-1312,SYN-1312,418332,48.0,11.47,58,0,227034.92968163642
L-1313,SYN-1313,960139,36.0,25.43,42,0,44362.82167368497
L-1314,SYN-1314,60371,24.0,9.47,31,0,0.0
L-1315,SYN-1315,306752,48.0,23.88,19,0,0.0
L-1316,SYN-1316,498814,48.0,22.63,23,0,0.0
L-1317,SYN-1317,329948,36.0,27.87,59,1,0.0
L-1318,SYN-1318,650347,36.0,27.93,40,0,96870.6731672032
L-1319,SYN-1319,706006,12.0,16.68,59,0,402844.73155642865
L-1320,SYN-1320,408904,24.0,15.89,42,0,118288.74282448759
L-1321,SYN-1321,266764,12.0,25.88,41,0,0.0
L-1322,SYN-1322,471742,48.0,11.11,4,0,0.0
L-1323,SYN-1323,223153,24.0,14.52,28,0,0.0
L-1324,SYN-1324,306717,12.0,16.24,44,0,0.0
L-1325,SYN-1325,338545,12.0,23.89,46,0,0.0
L-1326,SYN-1326,77007,12.0,10.07,43,0,34402.18071965595
L-1327,SYN-1327,392211,12.0,7.46,11,0,0.0
L-1328,SYN-1328,607527,24.0,21.7,51,0,0.0
L-1329,SYN-1329,592301,24.0,23.96,6,0,0.0
L-1330,SYN-1330,869737,12.0,18.9,6,0,369246.2666771842
L-1331,SYN-1331,793248,48.0,11.57,36,0,0.0
L-1332,SYN-1332,558992,60.0,16.39,16,0,0.0
L-1333,SYN-1333,834826,24.0,12.69,48,0,0.0
L-1334,SYN-1334,298200,60.0,24.43,26,0,0.0
L-1335,SYN-1335,559628,24.0,25.05,15,0,0.0
L-1336,SYN-1336,507798,36.0,24.89,40,0,0.0
L-1337,SYN-1337,578947,36.0,10.88,26,0,193971.65996112826
L-1338,SYN-1338,603508,60.0,20.89,8,0,19804.0819736352
L-1339,SYN-1339,106243,60.0,9.6,30,0,0.0
L-1340,SYN-1340,700720,36.0,24.74,19,0,57915.40451580963
L-1341,SYN-1341,888029,36.0,7.31,48,0,0.0
L-1342,SYN-1342,345409,60.0,22.53,59,0,8413.878493446171
L-1343,SYN-1343,649899,24.0,20.74,21,0,123390.91117708596
L-1344,SYN-1344,398584,12.0,16.32,57,0,0.0
L-1345,SYN-1345,413509,36.0,19.63,54,0,284806.0469062099
L-1346,SYN-1346,582994,59.99999999999999,8.63,6,0,0.0
L-1347,SYN-1347,746303,24.0,16.38,52,0,499344.9370502671
L-1348,SYN-1348,708071,48.0,26.61,20,0,0.0
L-1349,SYN-1349,437907,36.0,25.47,10,0,0.0
L-1350,SYN-1350,205592,36.0,22.47,54,0,77292.25733398173
L-1351,SYN-1351,90409,12.0,17.36,48,0,26340.70514388933
L-1352,SYN-1352,348014,60.0,24.47,39,0,249564.51163816734
L-1353,SYN-1353,804584,12.0,16.16,11,0,0.0
L-1354,SYN-1354,876374,48.0,20.84,34,0,410930.6214826101
L-1355,SYN-1355,410192,12.0,26.53,52,0,204789.26515938266
L-1356,SYN-1356,879669,12.0,14.89,10,0,0.0
L-1357,SYN-1357,210477,48.0,10.1,33,0,10566.569546426479
L-1358,SYN-1358,346775,36.0,26.92,47,0,137721.384438381
L-1359,SYN-1359,717910,12.0,8.17,21,0,138217.5683877372
L-1360,SYN-1360,353866,36.0,14.47,24,0,123185.42418198184
L-1361,SYN-1361,246437,12.0,15.9,38,0,0.0
L-1362,SYN-1362,263424,36.0,23.68,45,0,0.0
L-1363,SYN-1363,851415,48.0,15.71,6,0,0.0
L-1364,SYN-1364,423420,12.0,13.33,54,0,170296.83785369986
L-1365,SYN-1365,846007,12.0,13.17,8,0,223094.7340491918
L-1366,SYN-1366,544455,60.0,13.74,13,0,0.0
L-1367,SYN-1367,528980,59.99999999999999,11.86,28,0,0.0
L-1368,SYN-1368,866249,60.0,21.31,18,0,0.0
L-1369,SYN-1369,490647,12.0,17.99,59,0,0.0
L-1370,SYN-1370,417274,12.0,27.57,5,0,0.0
L-1371,SYN-1371,628675,24.0,19.54,8,0,0.0
L-1372,SYN-1372,231625,12.0,10.4,21,1,0.0
L-1373,SYN-1373,249082,24.0,21.86,39,0,8481.721843454034
L-1374,SYN-1374,52557,24.0,18.41,43,0,27534.96107897478
L-1375,SYN-1375,115833,60.0,18.18,16,0,87025.64196016829
L-1376,SYN-1376,594979,12.0,22.81,29,0,118265.57347728228
L-1377,SYN-1377,974812,36.0,25.49,54,0,181381.80166007875
L-1378,SYN-1378,587398,12.0,10.9,14,0,137264.11391761643
L-1379,SYN-1379,341602,24.0,22.29,29,0,0.0
L-1380,SYN-1380,320173,48.0,20.61,15,0,0.0
L-1381,SYN-1381,848622,48.0,19.58,30,0,532863.7264552641
L-1382,SYN-1382,393158,60.0,8.95,47,0,268837.52057440515
L-1383,SYN-1383,335869,60.0,18.9,22,0,23729.035147863196
L-1384,SYN-1384,319739,48.0,24.12,16,0,0.0
L-1385,SYN-1385,787293,36.0,12.24,54,0,0.0
L-1386,SYN-1386,472969,36.0,20.73,15,0,57738.66099914826
L-1387,SYN-1387,447257,60.0,22.94,57,0,0.0
L-1388,SYN-1388,443248,36.0,23.08,40,0,353179.894697291
L-1389,SYN-1389,594589,12.0,27.13,10,0,0.0
L-1390,SYN-1390,930575,24.0,19.11,53,0,0.0
L-1391,SYN-1391,731497,24.0,12.59,38,0,30695.08953423101
L-1392,SYN-1392,540429,24.0,11.84,48,0,424236.10074443964
L-1393,SYN-1393,758302,12.0,11.28,29,0,535816.6078193823
L-1394,SYN-1394,596126,36.0,17.41,18,0,157235.3286704342
L-1395,SYN-1395,662495,48.0,21.42,59,0,0.0
L-1396,SYN-1396,744778,48.0,20.69,45,0,0.0
L-1397,SYN-1397,915782,48.0,17.55,38,0,258295.74874343505
L-1398,SYN-1398,120363,24.0,26.25,43,0,0.0
L-1399,SYN-1399,323823,36.0,26.75,19,0,58078.65924083556
L-1400,SYN-1400,539571,12.0,14.72,9,0,83259.21627237112
L-1401,SYN-1401,313518,36.0,10.73,6,0,171807.25635081544
L-1402,SYN-1402,502244,48.0,12.25,48,0,20374.703087926875
L-1403,SYN-1403,391623,12.0,20.26,8,0,0.0
L-1404,SYN-1404,753248,12.0,23.89,29,0,134860.38059223557
L-1405,SYN-1405,971828,60.0,13.71,37,0,145802.93631486772
L-1406,SYN-1406,244646,24.0,21.9,35,0,82849.70682557796
L-1407,SYN-1407,794717,24.0,10.91,34,0,0.0
L-1408,SYN-1408,99933,36.0,9.71,16,0,3242.407901165664
L-1409,SYN-1409,830124,60.0,19.93,7,0,25342.23755563682
L-1410,SYN-1410,208441,24.0,19.67,36,0,139837.68916200896
L-1411,SYN-1411,866323,36.0,19.19,52,0,0.0
L-1412,SYN-1412,71946,36.0,24.79,33,1,35479.23972847422
L-1413,SYN-1413,500064,12.0,27.11,54,0,392094.97779481614
L-1414,SYN-1414,911542,24.0,7.94,58,1,533487.8024561186
L-1415,SYN-1415,828056,36.0,9.59,5,0,497609.0671654865
L-1416,SYN-1416,990701,24.0,9.28,38,0,636883.0614611023
L-1417,SYN-1417,260938,48.0,9.31,31,0,0.0
L-1418,SYN-1418,95851,36.0,12.16,42,0,61333.13179330197
